# Final comprehensive translations for NM Chapter 3
# These will be added programmatically

# Common words
データ|data
生成|generation
解|solution
問題|problem
計算|calculation
効率|efficiency
銀ナノ|silver nano
比較|comparison
現する|achieve
実|implementation
仮定|assumption
グリッドサーチ|grid search
トレードオフ|trade-off
フィッティング|fitting
ナノ|nano
検出|detection
機械学習|machine learning
解釈|interpretation
理解ている|understand
本コンテンツ|this content
表示|display
最小|minimum
最良|best
数|number
最大化|maximization
負|negative
変換|transformation
パレート|Pareto
パレートフロント|Pareto front
シミュレーションデータ|simulation data
個|units
品質管理|quality control
大きい|large
コード|code
物性|physical properties
色|color
実装|implementation
トラブルシューティング|troubleshooting
欠損|missing
役|role
ナノ材料特有|nanomaterial-specific
準備|preparation
方程式|equation
形状|shape
絶対|absolute
取得|acquisition
推移|progression
定義|definition
模擬|simulated
探索|search
従います|follows
軌跡|trajectory
ピーク位置|peak position
線形|linear
小さい|small
ラベル|label
列|column
検出率|detection rate
本章|this chapter
金ナノ|gold nano
帰|regression
合成条件|synthesis conditions
算出|calculation
これら|these
技術|techniques
実験|experiment
削減|reduction
カーボンナノチューブ|carbon nanotubes
カイラリティ|chirality
長さ|length
ターゲット|target
ヒント|hint
使い|use
説明|explanation
選択|selection
ハイパー|hyper
活用|utilization
コード品質|code quality
グラフ|graph
判定|judgment
作成者および東北大学|authors and Tohoku University
責任負いません|assume no responsibility
ビンご|per bin
全体|overall
ゲインベース|gain-based
作成|create
より|from
最も影響するこ|most influential
確認されまた|confirmed
な合成条件探索|for synthesis condition search
現する条件探索|achieve condition search
差|difference
する|perform
される|is performed
詳細な|detailed
収束また|converge
初期|initial
最終的な最良|final best
改善率|improvement rate
目的同時|simultaneous objectives
ここ|here
仮想的な指標|virtual metric
変数数|number of variables
制約な|no constraints
仮想的|virtual
近いほど高い|higher when closer
ずれ小さいほど高い|higher when deviation is smaller
インスタンス化|instantiation
世代数|number of generations
代表的なパレート|representative Pareto
インストールされていません|not installed
代わり|instead
簡易的な|simplified
サンプリング|sampling
探索た解|searched solutions
フロント|front
小さくする|reduce
効率下り|efficiency decreases
効率上げる|increase efficiency
大きくなる|becomes larger
明確|clear
透過型電子顕微鏡|transmission electron microscope
測定されるナノ|measured nano
ばば|approximately
変動係数|coefficient of variation
測定データ|measurement data
最大|maximum
スケール|scale
詳細|details
フィッティング曲線|fitting curve
位点|quantile points
データ直線上|data on straight line
あれば|if
良く従っています|follows well
シミュレーション|simulation
原子配置|atomic configuration
時間発展追跡ます|track time evolution
模擬生成|simulated generation
実際|actual
等から取得|obtained from
タイムステップ|timestep
初期位置|initial position
時間発展|time evolution
ランダムウォーク|random walk
ランダムな変位|random displacement
シミュレーション時間|simulation time
データ形状|data shape
心原子|central atom
原子|atom
原子間距離|interatomic distance
表ます|represents
最大距離|maximum distance
ビン数|number of bins
距離ビン|distance bins
全原子ペア間|all atom pairs
距離計算|distance calculation
規格化|normalization
理想気体|ideal gas
比|ratio
最終フレーム|final frame
ビン|bin
特徴的な原子間距離|characteristic interatomic distance
ピーク|peak
各タイムステップ|each timestep
後半|latter half
移動性定量的|quantitatively mobility
する重要な指標|important indicator
製造|manufacturing
生成されたナノ|generated nano
データ混在させる|mix data
な金ナノ|gold nano
なナノ|nano
全データ結合|combine all data
合|total
類レポート|classification report
真|true
正く検出された|correctly detected
強調|emphasis
低い|low
ほど|the more
ある可能性高い|high possibility
使った|used
実践的手|practical approach
学びまた|learned
合成|synthesis
データ前処理|data preprocessing
性能比較|performance comparison
基づく|based on
検証|validation
原子軌跡|atomic trajectory
動検出|motion detection
ような実際|like actual
ナノ材料研究|nanomaterials research
直接応用|direct application
きます|can
材料設計|materials design
高効率材料探索|high-efficiency materials search
合成条件発見|synthesis condition discovery
不良品|defective products
早期発見|early detection
歩留まり向上|yield improvement
定量的解|quantitative solution
根拠|basis
信頼性向上|reliability improvement
際|when
ナノ材料研究プロジェクト|nanomaterials research project
詳細なケーススタディ学びます|learn detailed case studies
カーボンナノチューブ複合材料|carbon nanotube composite materials
触媒|catalysts
グラフェン|graphene
ナノ医薬|nanomedicine
実用化事|practical use cases
通じて|through
問題解決|problem solving
全体像理解ます|understand overall picture
てください|please
データ仕様|data specifications
カイラリティ指標|chirality index
連続|continuous
タスク|task
簡易|simple
強く依存|strongly dependent
対数変換|logarithmic transformation
抗菌活性|antibacterial activity
小さいほど高くなります|smaller is higher
用いて|using
な合成|for synthesis
探索てください|please search
条件|conditions
高く|high
低いほど小さくなる|smaller with lower
赤|red
緑|green
青|blue
設計てください|please design
各色ご|for each color
済み|completed
探索空間|search space
保存|save
学んだ|learned
体系的|systematic
チェックます|check
インストールされている|installed
環境|environment
違い説明|explain differences
状況|situation
な環境選択|select environment
仮想環境|virtual environment
・有効化・無効化|activate/deactivate
環境検証コード|environment verification code
エラーなく動作確認|confirm error-free operation
マウントてデータ読み込める|mount and load data
仮想環境用途|virtual environment usage
インストールエラー|installation error
応じてインストール|install according to
合成データ生成|synthetic data generation
正規|normal
一様|uniform
データフレーム|DataFrame
・操作|operations
基本統計量|basic statistics
削除また|delete
補完|imputation
列計算・|column calculation
ペア|pair
カーネル密度推定|kernel density estimation
外れ|outlier
データ標準化|data standardization
再現性確保ている|ensure reproducibility
適合度検証|goodness of fit verification
カラーマップ効果的|effective colormap
使用|use
使った高度な|using advanced
係数|coefficient
意味説明|meaning explanation
・実装|implementation
標準化|standardization
必要性理解ている|understand necessity
計算・解釈|calculation and interpretation
性能差|performance difference
性能比較表|performance comparison table
整理|organization
残差|residual
偏り検出|bias detection
データ特性|data characteristics
応じて|according to
な|for
線形性強い|strong linearity
非線形性強い|strong nonlinearity
データ数少ない|few data points
各|each
最も影響する特徴量|most influential feature
何か|what
正負|positive/negative
与える影響説明|explain influence
解釈手|interpretation method
全体的な重要度|overall importance
理由|reason
根拠ステークホルダー|basis for stakeholders
探索空間定義|search space definition
受け取り|receive
返す|return
対て|for
実験検証計画|experimental validation plan
獲得関数|acquisition function
概念説明|concept explanation
継承て|inherit
クラス定義|class definition
解から用途|from solution to application
応じた|according to
解選択|solution selection
高性能重視|performance-oriented
環境重視|environment-oriented
バランス型|balanced type
代替実装|alternative implementation
使えない場合|when unavailable
曲線|curve
適合度|goodness of fit
原子軌跡データ|atomic trajectory data
構造理解ている|understand structure
ピーク位置から特徴的な原子間距離抽出|extract characteristic interatomic distances from peak positions
設定|settings
すべて|all
乱数シード|random seed
設定ている|set
データ検証|data validation
施ている|implemented
変数名|variable names
かりやすい|easy to understand
コメント|comments
処理|processing
目的説明ている|explain purpose
タイトル|title
軸ラベル|axis labels
凡|legend
追加ている|added
関数化てコード再利用可能|functionalized for code reuse
ドキュメンテーション文字列|documentation string
記述ている|described
美観整えている|aesthetics arranged
エラーハンドリング|error handling
対応|support
エラー対処|error handling
収束エラー|convergence error
増やす|increase
データ標準化する|standardize data
有効化|enable
エラーメッセージ読み|read error message
検索て解決策見|search for solution
性能改善|performance improvement
場合|case
改善策|improvement measures
特徴量エンジニアリング|feature engineering
変更|change
非線形|nonlinear
調整|adjustment
未学習検出|detect underfitting
も低い|also low
総合|overall
習熟度|proficiency
到達度確認てください|please check achievement level
初心者|beginner
エラー|error
解決|solution
級者|intermediate
する合成条件発見|find synthesis conditions
上級者|advanced
すべて実装|implement all
エキスパート|expert
独|original
ナノ材料データ|nanomaterial data
実験データまた|experimental data
文献データ|literature data
